Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Which teams would you like to learn more about?	Select a team to learn more:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":32,"displayText":"Software Team"},{"displayOrder":0,"qnaId":33,"displayText":"Analytics Team"},{"displayOrder":0,"qnaId":34,"displayText":"Finance Team"},{"displayOrder":0,"qnaId":35,"displayText":"Marketing Team"}]	26
How many coop positions are available?	We currently have 20 co-op positions available for the Winter 2021 term. These are split between the following roles:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":40,"displayText":"Software"},{"displayOrder":0,"qnaId":41,"displayText":"Business"}]	27
What requirements do you look for in new applicants?	We are looking for innovative employees with a passion and curiosity for artificial intelligence and technology. For all the positions, candidates with these soft skills will excel:\n\n*   Strong time management skills\n*   Problem solving abilities\n*   High level of initiative\n*   Strong communication skills\n*   Work effectively with all levels of organization\n\nThere are several job requirements based on the current available roles:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":42,"displayText":"Software"},{"displayOrder":0,"qnaId":43,"displayText":"Business"}]	28
Any job specifications required?	We are looking for innovative employees with a passion and curiosity for artificial intelligence and technology. For all the positions, candidates with these soft skills will excel:\n\n*   Strong time management skills\n*   Problem solving abilities\n*   High level of initiative\n*   Strong communication skills\n*   Work effectively with all levels of organization\n\nThere are several job requirements based on the current available roles:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":42,"displayText":"Software"},{"displayOrder":0,"qnaId":43,"displayText":"Business"}]	28
What is the salary for a coop intern?	While the general salary may vary from applicant to applicant, we hire coop interns at about $20/hour.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	29
How much will I get paid?	While the general salary may vary from applicant to applicant, we hire coop interns at about $20/hour.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	29
Where can I find more information?	Be sure to check out our website [www.notacompanywebsite.com](http://www.notacompanywebsite.com)  for additional information. To talk to a live agent, call 123-456-7890 Monday to Friday from 9:00am to 5:00pm EST.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	30
Contact information	Be sure to check out our website [www.notacompanywebsite.com](http://www.notacompanywebsite.com)  for additional information. To talk to a live agent, call 123-456-7890 Monday to Friday from 9:00am to 5:00pm EST.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	30
Additional help	Be sure to check out our website [www.notacompanywebsite.com](http://www.notacompanywebsite.com)  for additional information. To talk to a live agent, call 123-456-7890 Monday to Friday from 9:00am to 5:00pm EST.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	30
Hello	Hello. I'm Erin, a representative for NotaCompany. How can I help you?	Editorial		[]	false	[{"displayOrder":0,"qnaId":25,"displayText":"Company Teams"},{"displayOrder":0,"qnaId":24,"displayText":"What is NotaCompany?"},{"displayOrder":0,"qnaId":21,"displayText":"NotaCompany Mission"}]	31
Hi	Hello. I'm Erin, a representative for NotaCompany. How can I help you?	Editorial		[]	false	[{"displayOrder":0,"qnaId":25,"displayText":"Company Teams"},{"displayOrder":0,"qnaId":24,"displayText":"What is NotaCompany?"},{"displayOrder":0,"qnaId":21,"displayText":"NotaCompany Mission"}]	31
Software Team	Our software team is in charge of developing and managing our AI cloud services.	Editorial		[]	true	[{"displayOrder":0,"qnaId":27,"displayText":"Current Available Job Positions"}]	32
Analytics Team	Our analytics team manages our data.	Editorial		[]	true	[{"displayOrder":0,"qnaId":27,"displayText":"Current Available Job Positions"}]	33
Finance Team	Our finance team manages our finances.\n	Editorial		[]	true	[{"displayOrder":0,"qnaId":27,"displayText":"Current Available Job Positions"}]	34
Marketing Team	Our marketing team is active on developing our branding and messaging.	Editorial		[]	true	[{"displayOrder":0,"qnaId":27,"displayText":"Current Available Job Positions"}]	35
Application Packages	Within your application package, make sure to include a resume, as well as link any portfolio websites or github accounts you have. As an option, you can also include a cover letter.	Editorial		[]	false	[{"displayOrder":0,"qnaId":37,"displayText":"Coding Challenges"}]	36
Coding Challenges	After submitting your Application packages, you will be prompted by email to complete the coding challenges on HackerRank. These challenges are meant to test your basic proficiency, and you have the option to complete in any coding language available on HackerRank, such as Java, Python, C, C++, etc.	Editorial		[]	false	[{"displayOrder":0,"qnaId":38,"displayText":"Interview Preparation"}]	37
Interview Preparation	The last step in our recruitment process is an interview. For current recruitment procedures, we hold online video interviews with applicants. If you become a prospective employee, you will receive an email invite for a zoom call interview. This is a chance for you to get to know the company as much as it is a chance for us to get to know you.	Editorial		[]	false	[{"displayOrder":0,"qnaId":39,"displayText":"Co-Op Applicants"}]	38
Co-Op Applicants	When applying as a co-op student, be sure to check through your school's co-op page for more information.	Editorial		[]	false	[{"displayOrder":0,"qnaId":29,"displayText":"Co-Op Salary"},{"displayOrder":0,"qnaId":23,"displayText":"Application Due Date"}]	39
Software Developers	NotaCompany currently have 11 available software developer co-op positions, with the following breakdown:\n\n*   5 full-stack developer\n*   3 mobile developers\n*   2 front-end developers\n*   1 back-end developer	Editorial		[]	true	[{"displayOrder":0,"qnaId":42,"displayText":"Software Developers Requirements"}]	40
Business	NotaCompany currently have 9 available business analyst co-op positions, with the following breakdown:\n\n*   3 digital marketers\n*   2 financial analyst\n*   2 intelligence specialist\n*   1 human resource co-op\n*   1 brand marketer	Editorial		[]	true	[{"displayOrder":0,"qnaId":43,"displayText":"Business Positions Requirements"}]	41
Software	*   Familiarity and strength with any of the following: Java, Java Script, Python, Ruby\n*   Understanding of abstract data types\n*   Ability to multitask on several projects and manage workload\n*   Drive to explore emerging technologies	Editorial		[]	true	[{"displayOrder":0,"qnaId":22,"displayText":"Recruitment Process"}]	42
Business	*   Proficient with Microsoft Office\n*   Familiarity with reading, interpreting, and manipulating financial documents\n*   Sensitive to confidentiality\n*   Experience presenting data visually and creatively	Editorial		[]	true	[{"displayOrder":0,"qnaId":22,"displayText":"Recruitment Process"}]	43
Do you ever get hurt?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you breathe	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever breathe	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
can you masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you burp?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you chew?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you crawl?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you cry?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you dream	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you eat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you fart?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you breathe	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you get tired?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you yawn?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you pee?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you poop?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you sneeze?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you sweat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you throw up?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you vomit?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever pee?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you get hurt?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you sweat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have skin?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have teeth?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have toes?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you pee?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you poop?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever get tired?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you sneeze?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have hair?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you throw up?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you vomit?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you yawn?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Don't you ever masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Don't you ever sleep?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have a stomach?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have intestines?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you sleep?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you get tired?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever poop?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever sneeze?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever sweat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever throw up?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever vomit?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever walk	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever yawn?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have lungs?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you get hurt?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have legs?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you get zits?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have a liver?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have arms?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have eyes?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have fingernails?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have fingers?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you have bowels?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you fart?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever chew?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you burp?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you chew?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you crawl?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you cry?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you dream	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you eat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
do you ever masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever burp?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Can you walk?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever crawl?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever cry?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever dream	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever eat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
Do you ever fart?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	44
This is so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Why are you so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Talking to you is like watching paint dry.	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is not exciting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is not fun	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is not very interesting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is so dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
That is so uninteresting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
This is boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
This is not exciting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
So boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
This is not very interesting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Lost the election because your speech was too boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
This is so dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
This is so uninteresting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
U basic	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Ugh so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Ugh, so dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Ur basic	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Ur blah	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Ur gonna bore me to death	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Ur so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Wake me up when you have something interesting to say	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Watching paint dry is more entertaining than talking to you	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Are you trying to be dull?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
This is not fun	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Fun fact: you are boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Are you trying to bore me?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Basic af	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Be more fun	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Boring af	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Can you be less boring?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Can you be less dull?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Cool story, bro	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Could you be any less entertaining?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Could you be any less exciting?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Could you be any less interesting?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
So dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Did you know that you're boring?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Why are you so boring?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Getting tired of you	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Good lord you are dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Holy crap you are boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I am amazed that you are so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I am not enjoying this boring conversation	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I couldn't be more bored with you	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I'm falling asleep here	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I'm not surprised that you are boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I'm so bored of you	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I'm so tired of you	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
I'm tired of you	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Listening to you is like listening to a Ted Talk from the color Beige	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Could you be any more boring?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're so blah	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Were you made to be this boring?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're not entertaining	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're not exciting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're not interesting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're not very entertaining.	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're not very exciting.	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're pretty boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're pretty uneventful	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're pretty uninteresting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're quite boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're quite uninteresting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're no fun	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're so basic	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're making me fall asleep	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're so boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're so dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're so very dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're such a drag	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're such a snooze	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're super boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're the boringest	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're the king of boredom	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're the mayor of boringville	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're the president of boring club	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're the queen of boredom	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're very boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're really boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You could not be more dull.	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Why are you so dull?	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
Yawn	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are boring as sin	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are crazy boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are crazy dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are embarrassingly dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are making my eyes glaze over	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are more boring than watching paint dry	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are so blah	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You are the most boring bot I've ever talked to	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're no fun at all.	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You could not be more boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're very dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You don't interest me at all	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You honestly could not be more uninteresting	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You really know how to suck the fun out of the room	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're a real snooze	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're as entertaining as watching paint dry	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're basic	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're boring	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're boring me to death	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
You're dull	I aim for efficiency.	qna_chitchat_Professional	editorial:chitchat	[]	false	[]	45
